timestamp,active_sessions,new_sessions,ended_sessions
2026-09-15 16:45:35,1,0,0
2026-09-15 16:45:40,1,0,0
2026-09-15 16:45:45,1,0,0
2026-09-15 16:45:50,1,0,0
2026-09-15 16:45:55,1,0,0
2026-09-15 16:46:00,1,0,0
2026-09-15 16:46:05,1,0,0
2026-09-15 16:46:10,1,0,0
2026-09-15 16:46:15,1,0,0
2026-09-15 16:46:20,1,0,0
2026-09-15 16:46:25,1,0,0
2026-09-15 16:46:30,1,0,0
2026-09-15 16:46:35,1,0,0
2026-09-15 16:46:40,1,0,0
2026-09-15 16:46:45,1,0,0
2026-09-15 16:46:50,1,0,0
2026-09-15 16:46:55,1,0,0
2026-09-15 16:47:00,1,0,0
2026-09-15 16:47:05,1,0,0
2026-09-15 16:47:10,1,0,0
2026-09-15 16:47:15,1,0,0
2026-09-15 16:47:20,1,0,0
2026-09-15 16:47:25,1,0,0
2026-09-15 16:47:30,1,0,0
2026-09-15 16:47:35,1,0,0
2026-09-15 16:47:40,1,0,0
2026-09-15 16:47:45,1,0,0
2026-09-15 16:47:50,1,0,0
2026-09-15 16:47:55,1,0,0
2026-09-15 16:48:00,1,0,0
2026-09-15 16:48:05,1,0,0
2026-09-15 16:48:10,1,0,0
2026-09-15 16:48:15,1,0,0
2026-09-15 16:48:20,1,0,0
2026-09-15 16:48:25,1,0,0
2026-09-15 16:48:30,1,0,0
2026-09-15 16:48:35,1,0,0
2026-09-15 16:48:40,1,0,0
2026-09-15 16:48:45,1,0,0
2026-09-15 16:48:50,1,0,0
2026-09-15 16:48:55,1,0,0
2026-09-15 16:49:00,1,0,0
2026-09-15 16:49:05,1,0,0
2026-09-15 16:49:10,1,0,0
2026-09-15 16:49:15,1,0,0
2026-09-15 16:49:20,1,0,0
2026-09-15 16:49:25,1,0,0
2026-09-15 16:49:30,1,0,0
2026-09-15 16:49:35,1,0,0
2026-09-15 16:49:40,1,0,0
2026-09-15 16:49:45,1,0,0
2026-09-15 16:49:50,1,0,0
2026-09-15 16:49:55,1,0,0
2026-09-15 16:50:00,1,0,0
2026-09-15 16:50:05,1,0,0
2026-09-15 16:50:10,1,0,0
2026-09-15 16:50:15,1,0,0
2026-09-15 16:50:20,1,0,0
2026-09-15 16:50:25,1,0,0
2026-09-15 16:50:30,1,0,0
2026-09-15 16:50:35,1,0,0
2026-09-15 16:50:40,1,0,0
2026-09-15 16:50:45,1,0,0
2026-09-15 16:50:50,1,0,0
2026-09-15 16:50:55,1,0,0
2026-09-15 16:51:00,1,0,0
2026-09-15 16:51:05,1,0,0
2026-09-15 16:51:10,1,0,0
2026-09-15 16:51:15,1,0,0
2026-09-15 16:51:20,1,0,0
2026-09-15 16:51:25,1,0,0
2026-09-15 16:51:30,1,0,0
2026-09-15 16:51:35,1,0,0
2026-09-15 16:51:40,1,0,0
2026-09-15 16:51:45,1,0,0
2026-09-15 16:51:50,1,0,0
2026-09-15 16:51:55,1,0,0
2026-09-15 16:52:00,1,0,0
2026-09-15 16:52:05,1,0,0
2026-09-15 16:52:10,1,0,0
2026-09-15 16:52:15,1,0,0
2026-09-15 16:52:20,1,0,0
2026-09-15 16:52:25,1,0,0
2026-09-15 16:52:30,1,0,0
2026-09-15 16:52:35,1,0,0
2026-09-15 16:52:40,1,0,0
2026-09-15 16:52:45,1,0,0
2026-09-15 16:52:50,1,0,0
2026-09-15 16:52:55,1,0,0
2026-09-15 16:53:00,1,0,0
2026-09-15 16:53:05,1,0,0
2026-09-15 16:53:10,1,0,0
2026-09-15 16:53:15,1,0,0
2026-09-15 16:53:20,1,0,0
